Match,Line,FT Score,Settlement Payout,Total Volume ($),Final Inventory,Peak Inventory,Inv Utilization,Total Trades,Hedge Count,Hedge Cost ($),Net PnL ($)
纽卡斯尔联 vs 狼队,1.5,3-0,1.0,22621.25,6848.21,6239.49,12.5%,11,0,0.0,3718.83
曼彻斯特联 vs 南安普敦,1.5,3-1,1.0,34703.82,-683.73,6848.21,13.7%,14,1,26.87,-164.09
阿森纳 vs 阿斯顿维拉,1.0,2-2,1.0,37319.34,-388.63,6848.21,13.7%,16,1,26.87,-26.39
布伦特福德 vs 利物浦,-1.25,0-2,0.0,43554.45,-847.5,6848.21,13.7%,19,1,26.87,1965.28
切尔西 vs 狼队,1.5,3-1,1.0,37319.34,-388.63,6848.21,13.7%,16,1,26.87,-245.85
埃弗顿 vs 托特纳姆热刺,0.0,3-2,1.0,43554.45,-847.5,6848.21,13.7%,19,1,26.87,402.75
伊普斯维奇 vs 曼彻斯特城,-1.25,0-6,0.0,32329.34,1690.75,6848.21,13.7%,13,1,26.87,-249.25
莱斯特城 vs 富勒姆,-0.5,0-2,0.0,10586.82,1316.36,2370.55,4.7%,5,0,0.0,-432.04
曼彻斯特联 vs 布莱顿,0.25,1-3,0.0,43554.45,-847.5,6848.21,13.7%,19,1,26.87,867.39
纽卡斯尔联 vs 伯恩茅斯,1.0,1-4,0.0,34703.82,-683.73,6848.21,13.7%,14,1,26.87,630.3
诺丁汉森林 vs 南安普敦,1.25,3-2,1.0,54637.4,-3750.0,6848.21,13.7%,22,2,47.32,-1452.54
西汉姆联 vs 水晶宫,0.0,0-2,0.0,22621.25,6848.21,6848.21,13.7%,11,0,0.0,-2993.42
皇家贝蒂斯 vs 阿拉维斯,0.75,1-3,0.0,22621.25,6848.21,6848.21,13.7%,11,0,0.0,-2932.73
塞尔塔 vs 毕尔巴鄂竞技,0.0,1-2,0.0,32329.34,1690.75,6848.21,13.7%,13,1,26.87,-217.3
赫塔菲 vs 巴塞罗那,-1.0,1-1,0.0,54637.4,-3750.0,6848.21,13.7%,22,2,47.32,3484.59
赫罗纳 vs 塞维利亚,0.5,1-2,0.0,36159.14,771.58,6848.21,13.7%,15,1,26.87,-102.17
莱加内斯 vs 马德里竞技,-1.0,1-0,0.5,39089.22,-2158.5,6848.21,13.7%,17,1,26.87,850.94
奥萨苏纳 vs 巴列卡诺,0.25,1-1,0.75,30270.09,3750.0,6848.21,13.7%,12,1,26.87,1121.67
皇家马德里 vs 拉斯帕尔马斯,2.25,4-1,1.0,37319.34,-388.63,6848.21,13.7%,16,1,26.87,-158.36
巴伦西亚 vs 皇家社会,-0.25,1-0,1.0,34703.82,-683.73,6848.21,13.7%,14,1,26.87,473.44
比利亚雷亚尔 vs 马洛卡,0.75,4-0,1.0,64698.43,-3750.0,6848.21,13.7%,25,3,72.47,-880.77
西班牙人 vs 巴拉多利德,0.5,2-1,1.0,17310.08,4089.08,6064.35,12.1%,8,0,0.0,2186.16
阿拉维斯 vs 塞尔塔,0.0,1-1,0.5,39089.22,-2158.5,6848.21,13.7%,17,1,26.87,508.73
毕尔巴鄂竞技 vs 莱加内斯,1.25,0-0,1.0,39089.22,-2158.5,6848.21,13.7%,17,1,26.87,-679.79
马德里竞技 vs 比利亚雷亚尔,0.75,1-1,1.0,36159.14,771.58,6848.21,13.7%,15,1,26.87,648.78
巴塞罗那 vs 巴伦西亚,2.0,7-1,1.0,56905.25,-6017.86,6848.21,13.7%,24,2,47.32,-2174.04
拉斯帕尔马斯 vs 奥萨苏纳,0.25,1-1,0.75,12989.83,3719.37,3719.37,7.4%,6,0,0.0,1249.23
马洛卡 vs 皇家贝蒂斯,0.25,0-1,0.0,43554.45,-847.5,6848.21,13.7%,19,1,26.87,1291.25
巴列卡诺 vs 赫罗纳,0.0,2-1,1.0,34703.82,-683.73,6848.21,13.7%,14,1,26.87,487.23
皇家社会 vs 赫塔菲,0.5,0-3,0.0,17310.08,4089.08,6064.35,12.1%,8,0,0.0,-1814.83
巴拉多利德 vs 皇家马德里,-1.75,0-3,0.0,43554.45,-847.5,6848.21,13.7%,19,1,26.87,1954.14
塞维利亚 vs 西班牙人,0.75,1-1,1.0,32329.34,1690.75,6848.21,13.7%,13,1,26.87,1007.97
马德里竞技 vs 马洛卡,1.25,2-0,1.0,15334.81,6064.35,3719.37,7.4%,7,0,0.0,3639.27
巴塞罗那 vs 阿拉维斯,2.25,1-0,1.0,30270.09,3750.0,6848.21,13.7%,12,1,26.87,2522.75
皇家贝蒂斯 vs 毕尔巴鄂竞技,-0.25,2-2,0.25,48766.29,-6059.35,6848.21,13.7%,21,1,26.87,2816.49
赫塔菲 vs 塞维利亚,0.25,0-0,0.75,22621.25,6848.21,6848.21,13.7%,11,0,0.0,2497.36
赫罗纳 vs 拉斯帕尔马斯,1.0,2-1,1.0,30270.09,3750.0,6848.21,13.7%,12,1,26.87,1953.12
莱加内斯 vs 巴列卡诺,-0.25,0-1,0.0,10586.82,1316.36,2370.55,4.7%,5,0,0.0,-588.0
奥萨苏纳 vs 皇家社会,0.0,2-1,1.0,10586.82,1316.36,2370.55,4.7%,5,0,0.0,765.92
巴伦西亚 vs 塞尔塔,0.25,2-1,1.0,19460.49,6239.49,6064.35,12.1%,9,0,0.0,3596.23
比利亚雷亚尔 vs 巴拉多利德,1.75,5-1,1.0,17310.08,4089.08,6064.35,12.1%,8,0,0.0,2018.9
西班牙人 vs 皇家马德里,-1.5,1-0,0.0,48766.29,-6059.35,6848.21,13.7%,21,1,26.87,4229.7
AC米兰 vs 卡利亚里,1.5,1-1,1.0,12989.83,3719.37,2370.55,4.7%,6,0,0.0,2271.71
博洛尼亚 vs 罗马,0.0,2-2,0.5,36159.14,771.58,6848.21,13.7%,15,1,26.87,731.92
恩波利 vs 莱切,0.5,1-3,0.0,10586.82,1316.36,2370.55,4.7%,5,0,0.0,-415.88
热那亚 vs 帕尔马,0.5,1-0,1.0,17310.08,4089.08,6064.35,12.1%,8,0,0.0,2552.54
拉齐奥 vs 科莫,0.75,1-1,1.0,22621.25,6848.21,6239.49,12.5%,11,0,0.0,3491.49
蒙扎 vs 佛罗伦萨,-0.5,2-1,1.0,32329.34,1690.75,6848.21,13.7%,13,1,26.87,1349.42
那不勒斯 vs 维罗纳,1.75,2-0,1.0,17310.08,4089.08,6064.35,12.1%,8,0,0.0,2281.37
都灵 vs 尤文图斯,-0.5,1-1,0.0,22621.25,6848.21,6848.21,13.7%,11,0,0.0,-2738.45
乌迪内斯 vs 亚特兰大,-0.75,0-0,0.0,10586.82,1316.36,2370.55,4.7%,5,0,0.0,-507.83
威尼斯 vs 国际米兰,-1.5,0-1,0.0,39089.22,-2158.5,6848.21,13.7%,17,1,26.87,2241.85
罗马 vs 热那亚,1.0,3-1,1.0,22621.25,6848.21,6848.21,13.7%,11,0,0.0,3695.54
亚特兰大 vs 那不勒斯,0.25,2-3,0.0,39089.22,-2158.5,6848.21,13.7%,17,1,26.87,1853.35
博洛尼亚 vs 蒙扎,1.0,3-1,1.0,10586.82,1316.36,2370.55,4.7%,5,0,0.0,1040.68
卡利亚里 vs 莱切,0.5,4-1,1.0,39089.22,-2158.5,6848.21,13.7%,17,1,26.87,-451.44
科莫 vs 乌迪内斯,0.25,4-1,1.0,22621.25,6848.21,6848.21,13.7%,11,0,0.0,3622.8
佛罗伦萨 vs 都灵,0.75,1-1,1.0,43554.45,-847.5,6848.21,13.7%,19,1,26.87,-2.98
国际米兰 vs 恩波利,1.5,3-1,1.0,39089.22,-2158.5,6848.21,13.7%,17,1,26.87,-487.17
尤文图斯 vs AC米兰,0.25,2-0,1.0,43554.45,-847.5,6848.21,13.7%,19,1,26.87,441.88
帕尔马 vs 威尼斯,0.25,1-1,0.75,22621.25,6848.21,6239.49,12.5%,11,0,0.0,2331.58
维罗纳 vs 拉齐奥,-0.75,0-3,0.0,39089.22,-2158.5,6848.21,13.7%,17,1,26.87,2228.7
AC米兰 vs 帕尔马,1.75,3-2,1.0,39089.22,-2158.5,6848.21,13.7%,17,1,26.87,-591.0
科莫 vs 亚特兰大,-0.5,1-2,0.0,34703.82,-683.73,6848.21,13.7%,14,1,26.87,843.33
恩波利 vs 博洛尼亚,-0.5,1-1,0.0,22621.25,6848.21,6848.21,13.7%,11,0,0.0,-3062.62
热那亚 vs 蒙扎,0.25,2-0,1.0,22621.25,6848.21,6848.21,13.7%,11,0,0.0,3643.71
拉齐奥 vs 佛罗伦萨,0.5,1-2,0.0,10586.82,1316.36,2370.55,4.7%,5,0,0.0,-392.18
莱切 vs 国际米兰,-1.5,0-4,0.0,30270.09,3750.0,6848.21,13.7%,12,1,26.87,-1193.79
那不勒斯 vs 尤文图斯,0.25,2-1,1.0,43554.45,-847.5,6848.21,13.7%,19,1,26.87,749.02
都灵 vs 卡利亚里,0.25,2-0,1.0,22621.25,6848.21,6848.21,13.7%,11,0,0.0,3971.12
乌迪内斯 vs 罗马,-0.25,1-2,0.0,22621.25,6848.21,6848.21,13.7%,11,0,0.0,-3276.2
威尼斯 vs 维罗纳,0.25,1-1,0.75,39089.22,-2158.5,6848.21,13.7%,17,1,26.87,251.31
